detailed,ASCL3_regulon,ATF3_regulon,ATF4_regulon,ATF6_regulon,BACH1_regulon,BACH2_regulon,CEBPB_regulon,CEBPD_regulon,EHF_regulon,ELF3_regulon,FOS_regulon,FOSL1_regulon,FOSL2_regulon,FOXJ1_regulon,GATA3_regulon,HES1_regulon,IRF1_regulon,IRF7_regulon,IRF8_regulon,JUN_regulon,JUNB_regulon,KLF15_regulon,KLF4_regulon,KLF5_regulon,KLF6_regulon,MAFB_regulon,MEF2C_regulon,MYB_regulon,NFKB1_regulon,NFKB2_regulon,NKX2-1_regulon,NR4A1_regulon,NR4A2_regulon,NR4A3_regulon,REL_regulon,RELA_regulon,RELB_regulon,SOX2_regulon,SPDEF_regulon,STAT1_regulon,STAT2_regulon,STAT3_regulon,XBP1_regulon,CEBPA_regulon,EOMES_regulon,GATA2_regulon,IRF3_regulon,LEF1_regulon,MEF2A_regulon,NOTCH1_regulon,RUNX3_regulon,SPI1_regulon,TP63_regulon,EBF1_regulon,HES6_regulon,TCF7_regulon,TBX21_regulon,IRF9_regulon,PAX5_regulon
AZGP1 SCGB3A1 LTF high Goblet Cells,0.01806928,0.26524436,0.23165144,0.07426692,0.039119225,0.0030249732,0.03783029,0.19809882,0.20172799,0.21413267,0.15158297,0.01804914,0.12157895,0.07841971,0.002788668,0.32159775,0.10616273,0.058208913,0.013273362,0.1717884,0.20701262,0.0023778195,0.2702202,0.21869361,0.23372315,0.08466166,0.0019280344,0.027639635,0.027682599,0.07278329,0.008621106,0.19881311,0.09338077,0.04645542,0.08263158,0.03319952,0.019109828,0.058386147,0.19291891,0.12763292,0.030476639,0.12344925,0.17488855,0.0013050482,0.0025886146,0.004147422,0.017777927,0.0024503223,0.04857814,0.03754968,0.04338077,0.035099357,0.086259395,0.0018367348,0.00935956,0.0030075186,0.0080759935,0.0012969925,0.00051154674
AZGP1 high Goblet Cells,0.010995097,0.18019558,0.19509728,0.06529846,0.037560962,0.0020122943,0.03517349,0.23369741,0.2419084,0.32451013,0.10792013,0.01097973,0.178038,0.1086597,0.011593046,0.36802363,0.072317235,0.09752299,0.008355263,0.109784216,0.1556767,0.0016171765,0.23158364,0.31941286,0.18572685,0.066976346,0.0014443203,0.03448499,0.016519507,0.13969456,0.0067021437,0.13096221,0.057939317,0.021170495,0.09115233,0.04843731,0.04506617,0.07637396,0.32646528,0.11807255,0.033081055,0.11127997,0.26557776,0.00048630865,0.0024787898,0.0033946352,0.019366492,0.001685252,0.042777255,0.030388767,0.040558957,0.038107853,0.0954068,0.0016720433,0.005755182,0.0019814316,0.004888107,0.0008467537,0.0006523064
B Cells,0.013285767,0.17094143,0.17651965,0.04086731,0.047262788,0.004883247,0.038409933,0.044421792,0.083598964,0.075783916,0.09512046,0.014488511,0.08377132,0.02403447,0.0031171239,0.09517421,0.07106746,0.025824685,0.11324685,0.11208858,0.15581727,0.0037416606,0.10422165,0.02670126,0.2564307,0.0940252,0.0032505558,0.019418087,0.09948295,0.038739808,0.018413639,0.1727298,0.14138806,0.14517605,0.10503521,0.015761675,0.016136026,0.021467755,0.017323945,0.077839136,0.021682728,0.05197739,0.029534841,3.150482e-05,0.0045237215,0.00608043,0.014347664,0.00363232,0.04243699,0.03558747,0.13976835,0.09792995,0.03983321,0.0032505558,0.005989622,0.0040233503,0.044594143,0.0015770942,0.0018717569
BEST4 high Cilia high Ciliated Cells,0.010320805,0.10374666,0.10545767,0.072384946,0.020246385,0.0019257263,0.033770435,0.04793716,0.1452525,0.1757933,0.49226013,0.0017671965,0.08487111,0.5103156,0.000925368,0.061381742,0.03560611,0.012357999,0.002743861,0.46889338,0.36054903,0.0021950724,0.07715371,0.35868615,0.123812206,0.050042994,0.001678853,0.5292852,0.011608178,0.0067930073,0.0074178446,0.21644478,0.027370133,0.00903677,0.051826227,0.02075666,0.00372883,0.3590989,0.30233178,0.082820565,0.03913008,0.09818191,0.3753642,0.00034759316,0.0015272441,0.004020486,0.06861288,0.0017833181,0.057605036,0.09220501,0.022955805,0.008271642,0.03001661,0.0012558625,0.009502508,0.0021083571,0.0021571293,0.00064356433,0.00048698866
BPIFA1 and Chemokine high Secretory Cells,0.013668507,0.2889674,0.22734839,0.059214316,0.037066817,0.002829218,0.04036225,0.22109053,0.1626998,0.23939951,0.16384123,0.027263375,0.13707006,0.0715443,0.0030680096,0.4113001,0.13158491,0.047531947,0.011652588,0.168342,0.24847196,0.0022487547,0.29199374,0.24437352,0.26066494,0.08643167,0.0019352393,0.019426575,0.028135695,0.08535521,0.0066596274,0.21832845,0.09410277,0.04786225,0.09850065,0.03265053,0.026739225,0.051857267,0.23673327,0.10468595,0.015207386,0.103067465,0.24613927,0.00040015162,0.0028649557,0.00332846,0.010717998,0.0021843188,0.04940492,0.039236516,0.049192656,0.0379256,0.071643926,0.0013493611,0.01147336,0.0025508988,0.0079163965,0.0006075374,0.0004050249
BPIFA1 high Secretory Cells,0.03227815,0.14636217,0.1564598,0.07960371,0.044902895,0.018319393,0.04248209,0.12503438,0.14330283,0.17698683,0.11468591,0.023279328,0.09923423,0.101611555,0.0039270776,0.19711499,0.075851694,0.041588888,0.012255477,0.108235024,0.14595728,0.010797963,0.12842375,0.16348709,0.17774473,0.05061845,0.009966251,0.061595716,0.035966706,0.06546203,0.026604412,0.11623411,0.06490942,0.04173413,0.05758344,0.0461633,0.029291067,0.07844103,0.14862178,0.114652574,0.01589776,0.09777672,0.15039898,0.0012062612,0.016012257,0.016027577,0.023658847,0.014061969,0.07243426,0.037979316,0.048332952,0.044206075,0.047128454,0.012293677,0.007516771,0.016248085,0.013714647,0.007892355,0.0047455383
Basal Cells,0.029557176,0.21236882,0.20193517,0.07261866,0.037408106,0.006958044,0.038119454,0.14809184,0.13493697,0.11601871,0.124858454,0.027471209,0.07940614,0.036920384,0.005277942,0.18578154,0.06704263,0.017495953,0.009942731,0.14692256,0.18121122,0.004911995,0.20022176,0.08991036,0.19991559,0.10239091,0.0042320024,0.021645477,0.028570296,0.031392433,0.017382272,0.17419715,0.062348112,0.022451136,0.04149538,0.024850758,0.01688529,0.0395108,0.059402876,0.08908198,0.026769975,0.10167465,0.07432001,0.0129267955,0.0048246915,0.008966588,0.02290524,0.0054881102,0.05370654,0.09959196,0.03635314,0.03213623,0.18699002,0.004507143,0.0077893026,0.0063678455,0.003929394,0.002674064,0.0016669519
CCL5 high Squamous Cells,0.025372285,0.14581299,0.15263326,0.07107683,0.048106972,0.015951965,0.035835747,0.093606755,0.16763505,0.19878025,0.1791522,0.02658535,0.15783836,0.16577633,0.02669143,0.1441206,0.062405087,0.046542086,0.01252813,0.1779797,0.19144821,0.009663886,0.14552757,0.19795915,0.17605515,0.0576469,0.009042736,0.14414153,0.029269416,0.11583983,0.025476383,0.14777608,0.0715193,0.041979324,0.06727157,0.052530263,0.062963314,0.15255421,0.15843508,0.09732279,0.017427921,0.09322925,0.1559458,0.0019810025,0.014890109,0.015497233,0.02753701,0.012046907,0.06162141,0.045702565,0.04950418,0.036433876,0.04908558,0.011139118,0.0071334313,0.01430395,0.0148889655,0.0071938084,0.004607169
CD8 T Cells,0.017735085,0.1561947,0.15708926,0.048596315,0.042214014,0.0116633,0.030427534,0.04255772,0.081683114,0.076468095,0.0885298,0.014300913,0.07349098,0.025718633,0.00372396,0.07510036,0.06618067,0.017059086,0.04415228,0.10067692,0.12608412,0.0074732383,0.09100698,0.028010966,0.24423899,0.06740463,0.006604266,0.024090886,0.05184919,0.025866741,0.019589389,0.1587784,0.1593955,0.14050336,0.07423834,0.021404995,0.013280815,0.025906622,0.02054665,0.07066826,0.013958125,0.056046598,0.026202971,0.0010490895,0.02321496,0.011529097,0.015075038,0.009235845,0.044326756,0.03299719,0.15398107,0.0529072,0.028459359,0.007702419,0.0056979065,0.010630609,0.064584665,0.0048752427,0.0031083068
Cilia high Ciliated Cells,0.01758545,0.08642256,0.09470614,0.07775023,0.029530551,0.008445781,0.036453795,0.04129719,0.13595085,0.15317537,0.4401641,0.0064047943,0.07967544,0.4648979,0.0013929976,0.046841502,0.03770652,0.011049304,0.0031417876,0.40612492,0.31513542,0.0057987752,0.060126662,0.31322762,0.10302753,0.041900106,0.0051298398,0.48699948,0.01664557,0.011528131,0.014621825,0.18548065,0.019225726,0.008419464,0.043924984,0.027660768,0.0077927257,0.32802737,0.26201415,0.09150393,0.02420357,0.092691995,0.33535293,0.00066651544,0.005802858,0.008672112,0.04782736,0.0066346037,0.06051157,0.08797807,0.018404568,0.01071219,0.028580839,0.005457804,0.006913264,0.00794941,0.0021123714,0.0034219602,0.002191319
Dendritic Cells,0.013384915,0.2409924,0.18840902,0.025824685,0.09694403,0.0020024092,0.085294664,0.055937734,0.067790955,0.08135471,0.12625834,0.018263528,0.119033545,0.015064863,0.003274648,0.1511805,0.11381857,0.019416235,0.16320515,0.1557626,0.22648443,0.0020283542,0.16878244,0.023932543,0.3202891,0.20206356,0.0018467383,0.009126205,0.17927817,0.086781874,0.007995738,0.2518032,0.17219885,0.20841086,0.1792587,0.011999629,0.036947742,0.01846831,0.017605634,0.06143718,0.015587472,0.04923091,0.027644552,0.00030392883,0.0026278724,0.0024768347,0.010373425,0.001799481,0.031414937,0.029827649,0.15523906,0.22556987,0.030452188,0.0016187917,0.0046126763,0.002086731,0.02629633,0.00072646403,0.0004002965
Deuterosomal Cells,0.018907648,0.10703823,0.12134806,0.06488151,0.031854518,0.010692877,0.034432158,0.09540241,0.14218606,0.16512007,0.1881123,0.011931705,0.07828383,0.19788188,0.004305543,0.1342805,0.045686785,0.033425115,0.004946059,0.17404352,0.16632572,0.006251918,0.09657285,0.19236729,0.11819378,0.04209917,0.0059916945,0.18445066,0.016341293,0.03540399,0.017772863,0.119820125,0.032944165,0.015257065,0.04777602,0.026754536,0.015544597,0.14059019,0.17030333,0.09789541,0.02508125,0.090387516,0.19376749,0.0008560531,0.0074954857,0.0107262805,0.03013,0.007962445,0.054045543,0.05337953,0.024627155,0.023629593,0.047816873,0.007910987,0.06625304,0.00974113,0.0037241583,0.0047679874,0.0029118895
Developing Ciliated Cells,0.027881285,0.11140356,0.13473889,0.06262322,0.035698656,0.019528821,0.03328094,0.0828973,0.11616178,0.13585736,0.20199922,0.021866072,0.06887803,0.1966809,0.0020374253,0.117680706,0.058770347,0.026536955,0.005949697,0.19491066,0.18907975,0.010432189,0.10495508,0.16731171,0.13011776,0.04806141,0.010756869,0.19625601,0.02589292,0.034656953,0.026731558,0.14418827,0.04804694,0.022203589,0.054308273,0.034939263,0.01842457,0.15679727,0.13415219,0.10014196,0.01906611,0.08845878,0.1643649,0.0013197497,0.014091785,0.017897263,0.030099213,0.014295776,0.06217177,0.056534324,0.030378249,0.029767705,0.022962643,0.014216637,0.00998054,0.017148826,0.0054322574,0.00914723,0.0050419937
Developing Secretory and Goblet Cells,0.025496176,0.14402774,0.1559849,0.08603545,0.03316243,0.0063579204,0.03886602,0.11127431,0.15444744,0.1095505,0.074920274,0.0077083874,0.07122083,0.03929835,0.003282992,0.11103546,0.04162432,0.0153014,0.0042367773,0.09249417,0.11051659,0.0047715195,0.1123749,0.077260174,0.15710364,0.056463894,0.004163858,0.026390977,0.020791741,0.016725434,0.017316243,0.095040515,0.034794208,0.009992222,0.02709392,0.026856367,0.009901478,0.041767567,0.047381707,0.1000606,0.046346255,0.10998056,0.066401996,0.0059800367,0.0042837695,0.008884496,0.038513415,0.0051860255,0.06611194,0.089227706,0.027949506,0.020148432,0.1513161,0.003667358,0.010749287,0.0060299453,0.0025175004,0.002006741,0.0013835235
Early Response FOXJ1 high Ciliated Cells,0.01009897,0.20983039,0.20100008,0.070338346,0.019625911,0.0014797648,0.030441089,0.117896944,0.1560193,0.18676427,0.5018107,0.0076068724,0.09541724,0.45086452,0.0015714001,0.16694385,0.07758173,0.017700288,0.008143013,0.48762095,0.42242703,0.0012951413,0.20223415,0.32920575,0.20689544,0.093189575,0.0010447995,0.4740036,0.016298631,0.012857215,0.0052813143,0.32307488,0.086651854,0.034456026,0.07312215,0.020415457,0.0052612354,0.35309765,0.2744292,0.09862632,0.02001175,0.12528053,0.35418126,0.00033813226,0.0013563026,0.0028819207,0.030560063,0.0012430224,0.04197098,0.08642936,0.035631053,0.019676607,0.026875,0.0012514241,0.01720594,0.0014018712,0.004343458,0.00055251765,0.00035685804
